order_id,customer_name,email,phone,city,country_code,plan,channel,signup_date,order_date,items,quantity,unit_price,discount_pct,tax,shipping,total_amount,support_tickets,satisfaction,churn_risk
ORD-10001,Customer 001,user001@example.com,+33612340001,Antananarivo,BD,free,web,2025-09-07,2026-01-03,4,6,227.72,5,245.94,16.27,1560.21,6,1.3,0.09
ORD-10002,Customer 002,user002@example.com,+33612340002,Shanghai,EC,enterprise,referral,2025-01-08,2026-01-18,2,7,18.42,10,23.21,3.1,142.36,4,2.7,0.54
ORD-10003,Customer 003,user003@example.com,+33612340003,Quito,EC,pro,partner,2025-02-18,2026-06-03,5,5,136.44,15,122.8,4.52,707.19,0,3.5,0.5
ORD-10004,Customer 004,user004@example.com,+33612340004,Oslo,KE,free,mobile,2025-12-25,2026-02-03,5,9,105.2,0,170.42,11.64,1128.86,4,3.1,0.88
ORD-10005,Customer 005,user005@example.com,+33612340005,Lima,ES,pro,mobile,2025-08-14,2026-01-22,1,8,72.31,0,104.13,2.95,685.56,5,2.4,0.35
ORD-10006,Customer 006,user006@example.com,+33612340006,Antananarivo,GB,free,web,2025-01-24,2026-06-10,5,8,141.07,5,203.14,1.72,1276.99,7,2.1,0.39
ORD-10007,Customer 007,user007@example.com,+33612340007,Quito,MG,free,mobile,2025-05-05,2026-06-08,4,6,9.81,5,10.59,8.89,75.4,6,4.7,0.5
ORD-10008,Customer 008,user008@example.com,+33612340008,Madrid,PE,pro,partner,2025-12-14,2026-03-22,4,3,110.28,10,59.55,6.95,364.26,3,1.6,0.18
ORD-10009,Customer 009,user009@example.com,+33612340009,Quito,ES,free,web,2025-03-14,2026-05-12,5,4,159.58,0,114.9,12.12,765.34,5,4.8,0.69
ORD-10010,Customer 010,user010@example.com,+33612340010,Paris,NO,enterprise,referral,2025-07-13,2026-04-04,4,9,228.28,15,369.81,16.91,2133.06,6,1.2,0.07
ORD-10011,Customer 011,user011@example.com,+33612340011,Paris,MG,free,mobile,2025-09-04,2026-03-20,1,4,108.27,0,77.95,8.5,519.53,1,4.5,0.61
ORD-10012,Customer 012,user012@example.com,+33612340012,Oslo,MG,free,referral,2025-08-16,2026-04-10,1,3,153.9,0,83.11,15.06,559.87,2,1.4,0.34
ORD-10013,Customer 013,user013@example.com,+33612340013,Paris,CN,enterprise,partner,2025-03-23,2026-05-01,5,5,117.22,15,105.5,4.04,607.72,4,4.9,0.86
